price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
8.5,2,0,1,1,7,3.5,0.8235,FWD,Newcastle,180,0.05263157894736842
5.4,2,0,0,0,2,1.0,0.3704,MID,Newcastle,86,0.05263157894736842
6.0,2,1,0,1,12,6.0,2.0,MID,Newcastle,180,0.05263157894736842
4.5,1,0,0,0,3,1.5,0.6667,DEF,Newcastle,88,0.05263157894736842
4.5,1,0,0,0,8,4.0,1.778,DEF,Newcastle,150,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,MID,Newcastle,0,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,DEF,Newcastle,0,0.05263157894736842
4.0,0,0,0,0,0,0.0,0.0,DEF,Newcastle,0,0.05263157894736842
4.5,2,0,0,0,8,4.0,1.778,DEF,Newcastle,147,0.05263157894736842
5.0,2,0,0,0,5,2.5,1.0,MID,Newcastle,159,0.05263157894736842
5.0,0,0,0,0,0,0.0,0.0,MID,Newcastle,0,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,GK,Newcastle,0,0.05263157894736842
5.0,2,0,0,0,12,6.0,2.4,GK,Newcastle,180,0.05263157894736842
4.0,0,0,0,0,0,0.0,0.0,GK,Newcastle,0,0.05263157894736842
5.4,1,0,0,0,-2,-2.0,-0.3704,DEF,Newcastle,27,0.05263157894736842
4.0,0,0,0,0,0,0.0,0.0,DEF,Newcastle,0,0.05263157894736842
5.5,0,0,0,0,0,0.0,0.0,MID,Newcastle,0,0.05263157894736842
5.9,0,0,0,0,1,1.0,0.1695,DEF,Newcastle,32,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,MID,Newcastle,0,0.05263157894736842
4.9,0,0,0,0,1,1.0,0.2041,MID,Newcastle,20,0.05263157894736842
6.9,0,0,0,0,0,0.0,0.0,FWD,Newcastle,0,0.05263157894736842
4.0,0,0,0,0,0,0.0,0.0,DEF,Newcastle,0,0.05263157894736842
5.0,0,0,0,0,0,0.0,0.0,FWD,Newcastle,0,0.05263157894736842
4.4,0,0,0,0,0,0.0,0.0,DEF,Nott'm Forest,0,0.05263157894736842
4.4,2,0,0,0,10,5.0,2.273,DEF,Nott'm Forest,143,0.05263157894736842
5.0,1,0,0,0,4,2.0,0.8,MID,Nott'm Forest,92,0.05263157894736842
5.9,0,0,0,0,2,1.0,0.339,FWD,Nott'm Forest,33,0.05263157894736842
4.5,1,0,0,0,3,1.5,0.6667,DEF,Nott'm Forest,91,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,MID,Nott'm Forest,0,0.05263157894736842
4.4,0,0,0,0,0,0.0,0.0,GK,Nott'm Forest,0,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,MID,Nott'm Forest,0,0.05263157894736842
4.9,1,0,0,0,1,1.0,0.2041,MID,Nott'm Forest,14,0.05263157894736842
5.0,0,0,0,0,0,0.0,0.0,FWD,Nott'm Forest,0,0.05263157894736842
4.9,0,0,0,0,1,0.5,0.2041,MID,Nott'm Forest,51,0.05263157894736842
5.4,2,0,0,0,4,2.0,0.7407,MID,Nott'm Forest,143,0.05263157894736842
6.5,2,1,0,1,12,6.0,1.846,MID,Nott'm Forest,180,0.05263157894736842
5.5,2,0,0,0,6,3.0,1.091,MID,Nott'm Forest,161,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,MID,Nott'm Forest,0,0.05263157894736842
4.5,2,0,0,0,9,4.5,2.0,DEF,Nott'm Forest,180,0.05263157894736842
4.5,2,0,0,0,7,3.5,1.556,DEF,Nott'm Forest,180,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,DEF,Nott'm Forest,0,0.05263157894736842
5.0,0,0,0,0,0,0.0,0.0,MID,Nott'm Forest,0,0.05263157894736842
4.4,0,0,0,0,0,0.0,0.0,DEF,Nott'm Forest,0,0.05263157894736842
4.0,0,0,0,0,0,0.0,0.0,DEF,Nott'm Forest,0,0.05263157894736842
4.5,2,0,0,0,4,2.0,0.8889,MID,Nott'm Forest,155,0.05263157894736842
4.5,2,0,0,0,9,4.5,2.0,GK,Nott'm Forest,180,0.05263157894736842
4.5,0,0,0,0,1,1.0,0.2222,DEF,Nott'm Forest,36,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,FWD,Nott'm Forest,0,0.05263157894736842
6.1,2,1,0,1,10,5.0,1.639,FWD,Nott'm Forest,145,0.05263157894736842
4.5,0,0,0,0,0,0.0,0.0,DEF,Nott'm Forest,0,0.05263157894736842
5.0,0,0,1,1,8,4.0,1.6,MID,Nott'm Forest,99,0.05263157894736842
6.4,0,0,0,0,1,1.0,0.1562,MID,Nott'm Forest,16,0.05263157894736842
4.5,1,0,0,0,6,6.0,1.333,DEF,Nott'm Forest,90,0.05263157894736842
6.0,0,0,0,0,1,1.0,0.1667,MID,Nott'm Forest,1,0.05263157894736842
5.5,0,0,0,0,0,0.0,0.0,MID,Nott'm Forest,0,0.05263157894736842
4.4,0,0,0,0,0,0.0,0.0,GK,Southampton,0,-0.07017543859649122
