player_full_name,goals,assists,season_year,goal_contributions,points,price,roi,position,minutes_played,clean_sheets,goal_contributions_pgw,points_pgw
Erling Haaland,36,9,2023,45,272,12.4,21.94,FWD,2767,13,1.18,7.16
Bruno Borges Fernandes,8,9,2023,17,176,9.5,18.53,MID,3317,18,0.45,4.63
Marcus Rashford,17,7,2023,24,205,7.2,28.47,MID,2880,13,0.63,5.39
Callum Wilson,18,6,2023,24,157,7.3,21.51,FWD,1870,10,0.63,4.13
Kieran Trippier,1,9,2023,10,198,6.0,33.0,DEF,3342,16,0.26,5.21
Miguel Almirón Rejala,11,4,2023,15,158,5.4,29.26,MID,2487,15,0.39,4.16
Morgan Gibbs-White,5,12,2023,17,145,5.5,26.36,MID,3151,8,0.45,3.82
Harry Kane,30,9,2023,39,263,11.5,22.87,FWD,3406,11,1.03,6.92
Son Heung-min,10,6,2023,16,152,11.5,13.22,MID,2886,9,0.42,4.0
Jarrod Bowen,6,9,2023,15,145,8.0,18.12,MID,3232,9,0.39,3.82
