name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Krafth,£4.5,Newcastle,0,0,0,8,909,33,1.9,7.333,0.916625,DEF
Lascelles,£4.5,Newcastle,1,0,1,13,1077,46,2.9,10.22,0.7861538461538462,DEF
Livramento,£4.5,Newcastle,1,0,1,12,1302,45,1.7,10.0,0.8333333333333334,DEF
Longstaff,£5.0,Newcastle,6,3,9,30,2742,110,3.1,22.0,0.7333333333333333,MID
Miley,£5.0,Newcastle,1,3,4,14,1203,44,2.6,8.8,0.6285714285714287,MID
Odysseas,£4.5,Newcastle,0,0,0,5,450,12,2.4,2.667,0.5334,GK
Pope,£5.0,Newcastle,0,0,0,15,1345,57,3.8,11.4,0.76,GK
Schär,£5.5,Newcastle,4,3,7,35,3055,123,3.4,22.36,0.6388571428571428,DEF
Targett,£4.0,Newcastle,0,0,0,1,77,2,0.7,0.5,0.5,DEF
Tonali,£5.5,Newcastle,1,0,1,5,437,16,2.0,2.909,0.5818,MID
Trippier,£6.0,Newcastle,1,10,11,26,2235,111,4.0,18.5,0.7115384615384616,DEF
White,£4.5,Newcastle,0,0,0,0,12,3,0.8,0.6667,0.0,MID
Willock,£5.0,Newcastle,1,0,1,5,415,18,2.0,3.6,0.72,MID
Wilson,£7.0,Newcastle,9,1,10,9,981,69,3.5,9.857,1.095222222222222,FWD
Osula,£5.0,Newcastle,0,1,1,9,778,25,1.2,5.0,0.5555555555555556,FWD
Aina,£4.5,Nott'm Forest,1,1,2,20,1690,45,2.0,10.0,0.5,DEF
Anderson,£5.0,Nott'm Forest,0,2,2,10,1018,42,2.0,8.4,0.8400000000000001,MID
Awoniyi,£6.0,Nott'm Forest,6,3,9,12,1036,67,3.4,11.17,0.9308333333333333,FWD
Boly,£4.5,Nott'm Forest,2,1,3,18,1437,58,2.9,12.89,0.7161111111111111,DEF
Danilo,£5.0,Nott'm Forest,2,2,4,20,1787,65,2.2,13.0,0.65,MID
Dominguez,£5.0,Nott'm Forest,2,2,4,19,1489,67,2.6,13.4,0.7052631578947368,MID
Elanga,£5.5,Nott'm Forest,5,9,14,25,2424,119,3.3,21.64,0.8656,MID
Gibbs-White,£6.5,Nott'm Forest,5,12,17,35,3156,142,3.8,21.85,0.6242857142857143,MID
Hudson-Odoi,£5.5,Nott'm Forest,8,2,10,20,1846,109,3.8,19.82,0.991,MID
Murillo,£4.5,Nott'm Forest,0,2,2,32,2790,58,1.8,12.89,0.4028125,DEF
N.Williams,£4.5,Nott'm Forest,0,1,1,18,1630,39,1.5,8.667,0.4815,DEF
Omobamidele,£4.5,Nott'm Forest,0,0,0,8,782,11,1.0,2.444,0.3055,DEF
Sangaré,£4.5,Nott'm Forest,0,0,0,13,1031,25,1.5,5.556,0.42738461538461536,MID
Sels,£4.5,Nott'm Forest,0,0,0,16,1440,34,2.1,7.556,0.47225,GK
Toffolo,£4.5,Nott'm Forest,1,3,4,15,1452,52,2.3,11.56,0.7706666666666667,DEF
Turner,£4.0,Nott'm Forest,0,0,0,17,1530,41,2.5,10.25,0.6029411764705882,GK
Wood,£6.0,Nott'm Forest,14,1,15,20,1801,131,4.2,21.83,1.0915,FWD
Worrall,£4.5,Nott'm Forest,0,0,0,5,438,13,1.9,2.889,0.5778,DEF
Yates,£5.0,Nott'm Forest,1,1,2,21,1979,59,1.7,11.8,0.5619047619047619,MID
Lallana,£5.0,Southampton,0,1,1,13,839,30,1.2,6.0,0.46153846153846156,MID
Taylor,£4.0,Southampton,1,1,2,25,2329,47,1.7,11.75,0.47,DEF
Brereton Díaz,£5.5,Southampton,6,1,7,14,1105,62,4.4,11.27,0.8049999999999999,MID
Solanke,£7.5,Spurs,19,3,22,37,3325,175,4.6,23.33,0.6305405405405405,FWD
Bentancur,£5.0,Spurs,1,1,2,13,997,32,1.4,6.4,0.49230769230769234,MID
