name,price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Average
Fábio Vieira,5.4,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.114
G.Jesus,6.8,0,0,0,0,1,0.3,0.1471,FWD,Arsenal,18,0.114
Gabriel,6.1,5,2,0,2,36,7.2,5.902,DEF,Arsenal,450,0.114
Havertz,8.2,5,2,1,3,26,5.2,3.171,FWD,Arsenal,450,0.114
Hein,4.0,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.114
J.Timber,5.5,4,0,0,0,15,3.0,2.727,DEF,Arsenal,358,0.114
Jorginho,4.9,1,0,0,0,2,2.0,0.4082,MID,Arsenal,90,0.114
Kiwior,4.8,0,0,0,0,1,1.0,0.2083,DEF,Arsenal,16,0.114
Martinelli,6.9,4,0,1,1,15,3.0,2.174,MID,Arsenal,335,0.114
Nwaneri,4.5,0,0,0,0,1,1.0,0.2222,MID,Arsenal,4,0.114
Ødegaard,8.2,3,0,0,0,7,2.3,0.8537,MID,Arsenal,253,0.114
Raya,5.6,5,0,0,0,33,6.6,5.893,GK,Arsenal,450,0.114
Rice,6.3,4,0,0,0,4,1.0,0.6349,MID,Arsenal,312,0.114
Saka,10.1,5,1,5,6,35,7.0,3.465,MID,Arsenal,386,0.114
Saliba,6.0,5,0,0,0,20,4.0,3.333,DEF,Arsenal,450,0.114
Thomas,5.0,5,1,0,1,19,3.8,3.8,MID,Arsenal,450,0.114
Tierney,4.4,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.114
Tomiyasu,4.8,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.114
Trossard,6.9,3,1,0,1,10,2.0,1.449,MID,Arsenal,224,0.114
White,6.4,4,0,0,0,21,4.2,3.281,DEF,Arsenal,405,0.114
Zinchenko,4.8,1,0,0,0,7,3.5,1.458,DEF,Arsenal,78,0.114
Neto,4.3,2,0,0,0,7,3.5,1.628,GK,Arsenal,180,0.114
Sterling,6.8,0,0,0,0,1,1.0,0.1471,MID,Arsenal,10,0.114
Calafiori,5.8,1,1,0,1,11,3.7,1.897,DEF,Arsenal,115,0.114
Lewis-Skelly,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,1,0.114
Merino,6.0,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.114
Oulad M'hand,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.114
Setford,4.5,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.114
Kacurri,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.114
Heaven,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.114
Kabia,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.114
Bailey,6.4,3,0,0,0,5,1.2,0.7812,MID,Aston Villa,223,0.351
Barkley,5.3,0,0,1,1,6,1.5,1.132,MID,Aston Villa,115,0.351
Barrenechea,4.9,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Buendia,5.3,0,0,0,0,2,1.0,0.3774,MID,Aston Villa,7,0.351
Cash,4.4,2,0,0,0,3,1.5,0.6818,DEF,Aston Villa,96,0.351
Dendoncker,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Diaby,6.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Diego Carlos,4.5,1,0,0,0,2,2.0,0.4444,DEF,Aston Villa,90,0.351
Digne,4.6,5,0,2,2,16,3.2,3.478,DEF,Aston Villa,351,0.351
Dobbin,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Duran,6.2,0,4,0,4,25,5.0,4.032,FWD,Aston Villa,131,0.351
Gauci,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.351
Hause,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.351
Iling Jr,5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Kamara,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Kesler-Hayden,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.351
Konsa,4.5,5,1,0,1,15,3.0,3.333,DEF,Aston Villa,450,0.351
Maatsen,4.9,0,0,0,0,5,1.0,1.02,DEF,Aston Villa,107,0.351
Marschall,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.351
Martinez,5.0,5,0,0,0,9,1.8,1.8,GK,Aston Villa,450,0.351
McGinn,5.3,5,0,0,0,9,1.8,1.698,MID,Aston Villa,349,0.351
Mings,4.4,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.351
Nedeljkovic,4.0,0,0,0,0,3,1.0,0.75,DEF,Aston Villa,93,0.351
Olsen,4.5,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.351
Pau,4.5,5,0,0,0,7,1.4,1.556,DEF,Aston Villa,450,0.351
Ramsey,5.5,2,0,1,1,11,2.2,2.0,MID,Aston Villa,245,0.351
Rogers,5.2,5,0,2,2,18,3.6,3.462,MID,Aston Villa,450,0.351
Sinisalo,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.351
Sousa,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.351
Tielemans,5.5,5,0,2,2,17,3.4,3.091,MID,Aston Villa,450,0.351
Watkins,9.0,5,3,1,4,28,5.6,3.111,FWD,Aston Villa,358,0.351
Onana,5.2,5,2,0,2,23,4.6,4.423,MID,Aston Villa,332,0.351
Jaden,5.3,0,0,0,0,1,0.5,0.1887,MID,Aston Villa,17,0.351
Bogarde,4.0,2,0,0,0,2,1.0,0.5,DEF,Aston Villa,168,0.351
Swinkels,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.351
Zych,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.351
Young,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.351
Aarons,4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.149
