name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Travers,4.5,Bournemouth,0,0,0,4,360,19,4.8,4.222,GK,-1.719298245614036
Zabarnyi,4.5,Bournemouth,1,0,1,37,3330,84,2.3,18.67,DEF,-1.719298245614036
Ajer,4.5,Brentford,2,1,3,21,1826,68,2.4,15.11,DEF,-4.8771929824561395
Collins,4.5,Brentford,1,1,2,29,2649,84,2.6,18.67,DEF,-4.8771929824561395
Damsgaard,5.0,Brentford,0,4,4,7,829,45,2.0,9.0,MID,-4.8771929824561395
Dasilva,5.0,Brentford,0,0,0,0,22,3,1.0,0.6,MID,-4.8771929824561395
Flekken,4.5,Brentford,0,1,1,37,3285,119,3.2,26.44,GK,-4.8771929824561395
Henry,4.5,Brentford,0,1,1,5,401,13,2.6,2.889,DEF,-4.8771929824561395
Hickey,4.5,Brentford,0,0,0,9,713,17,1.9,3.778,DEF,-4.8771929824561395
Janelt,5.0,Brentford,1,4,5,37,3054,93,2.4,18.6,MID,-4.8771929824561395
Jensen,5.5,Brentford,3,4,7,27,2201,98,3.1,17.82,MID,-4.8771929824561395
Lewis-Potter,5.0,Brentford,3,2,5,15,1428,73,2.4,14.6,MID,-4.8771929824561395
Mbeumo,7.0,Brentford,9,7,16,22,1957,127,5.1,18.14,MID,-4.8771929824561395
Mee,4.5,Brentford,2,1,3,15,1272,39,2.4,8.667,DEF,-4.8771929824561395
Nørgaard,5.0,Brentford,2,1,3,30,2504,74,2.4,14.8,MID,-4.8771929824561395
Onyeka,5.0,Brentford,1,2,3,11,1147,39,1.5,7.8,MID,-4.8771929824561395
Peart-Harris,4.5,Brentford,0,0,0,0,11,3,1.0,0.6667,MID,-4.8771929824561395
Pinnock,4.5,Brentford,2,0,2,28,2521,77,2.7,17.11,DEF,-4.8771929824561395
Roerslev,4.5,Brentford,1,2,3,22,1975,75,2.2,16.67,DEF,-4.8771929824561395
Schade,5.5,Brentford,2,2,4,3,327,33,3.0,6.0,MID,-4.8771929824561395
Toney,7.5,Brentford,4,3,7,16,1449,57,3.4,7.6,FWD,-4.8771929824561395
Wissa,6.0,Brentford,12,4,16,29,2488,131,3.9,21.83,FWD,-4.8771929824561395
Yarmoliuk,4.5,Brentford,0,0,0,6,670,33,1.2,7.333,MID,-4.8771929824561395
Zanka,4.5,Brentford,1,0,1,12,1086,29,2.1,6.444,DEF,-4.8771929824561395
Adingra,5.5,Brighton,6,1,7,25,2220,97,3.1,17.64,MID,-1.7192982456140355
Baker-Boaitey,4.5,Brighton,0,0,0,0,37,4,0.8,0.8889,MID,-1.7192982456140355
Baleba,5.0,Brighton,0,0,0,15,1314,34,1.3,6.8,MID,-1.7192982456140355
Barco,4.0,Brighton,0,0,0,3,307,5,0.8,1.25,DEF,-1.7192982456140355
Dahoud,5.0,Brighton,0,1,1,6,449,14,1.6,2.8,MID,-1.7192982456140355
Dunk,4.5,Brighton,3,1,4,33,2869,89,2.7,19.78,DEF,-1.7192982456140355
Enciso,5.5,Brighton,0,2,2,5,468,20,1.7,3.636,MID,-1.7192982456140355
Estupiñan,5.0,Brighton,2,3,5,15,1242,57,3.0,11.4,DEF,-1.7192982456140355
Ferguson,5.5,Brighton,6,1,7,15,1356,69,2.6,12.55,FWD,-1.7192982456140355
Gilmour,5.0,Brighton,0,3,3,24,2116,61,2.0,12.2,MID,-1.7192982456140355
Gross,6.5,Brighton,4,11,15,34,3112,153,4.2,23.54,MID,-1.7192982456140355
Hinshelwood,5.0,Brighton,3,0,3,8,866,42,3.5,8.4,MID,-1.7192982456140355
Igor,4.5,Brighton,0,0,0,17,1631,37,1.5,8.222,DEF,-1.7192982456140355
João Pedro,5.5,Brighton,9,3,12,19,2037,104,3.4,18.91,FWD,-1.7192982456140355
Lamptey,4.5,Brighton,0,3,3,10,908,31,1.6,6.889,DEF,-1.7192982456140355
March,6.5,Brighton,3,1,4,7,555,39,5.6,6.0,MID,-1.7192982456140355
Milner,5.0,Brighton,0,2,2,11,770,28,1.9,5.6,MID,-1.7192982456140355
Mitoma,6.5,Brighton,3,7,10,15,1485,74,3.9,11.38,MID,-1.7192982456140355
Moder,4.5,Brighton,0,0,0,6,608,21,1.2,4.667,MID,-1.7192982456140355
O’Mahony,4.5,Brighton,0,0,0,1,61,2,0.7,0.4444,FWD,-1.7192982456140355
Offiah,4.0,Brighton,0,0,0,1,126,4,1.0,1.0,DEF,-1.7192982456140355
Steele,4.5,Brighton,0,0,0,17,1530,42,2.5,9.333,GK,-1.7192982456140355
Van Hecke,4.5,Brighton,0,0,0,26,2368,61,2.2,13.56,DEF,-1.7192982456140355
Veltman,4.5,Brighton,1,1,2,17,1579,49,1.8,10.89,DEF,-1.7192982456140355
Verbruggen,4.5,Brighton,0,0,0,21,1890,68,3.2,15.11,GK,-1.7192982456140355
Webster,4.5,Brighton,0,0,0,13,1142,26,1.7,5.778,DEF,-1.7192982456140355
Welbeck,5.5,Brighton,5,4,9,21,1687,79,2.7,14.36,FWD,-1.7192982456140355
Andrey Santos,4.5,Chelsea,0,0,0,0,7,1,1.0,0.2222,MID,3.5438596491228096
B.Badiashile,4.5,Chelsea,0,1,1,15,1337,35,1.9,7.778,DEF,3.5438596491228096
Broja,5.5,Chelsea,1,2,3,6,529,35,1.7,6.364,FWD,3.5438596491228096
Caicedo,5.0,Chelsea,1,3,4,33,2865,84,2.4,16.8,MID,3.5438596491228096
Casadei,4.5,Chelsea,0,0,0,0,71,11,1.0,2.444,MID,3.5438596491228096
Chalobah,4.5,Chelsea,1,0,1,10,949,39,3.0,8.667,DEF,3.5438596491228096
Chilwell,5.0,Chelsea,0,2,2,9,752,24,1.8,4.8,DEF,3.5438596491228096
Chukwuemeka,5.0,Chelsea,1,1,2,2,222,16,1.8,3.2,MID,3.5438596491228096
Colwill,4.5,Chelsea,1,1,2,20,1794,65,2.8,14.44,DEF,3.5438596491228096
Cucurella,5.0,Chelsea,0,3,3,20,1783,44,2.1,8.8,DEF,3.5438596491228096
D.D.Fofana,5.5,Chelsea,4,1,5,10,876,50,3.3,9.091,FWD,3.5438596491228096
Deivid,5.0,Chelsea,0,0,0,0,11,2,1.0,0.4,FWD,3.5438596491228096
Disasi,4.5,Chelsea,2,0,2,29,2579,71,2.3,15.78,DEF,3.5438596491228096
Enzo,5.0,Chelsea,3,3,6,26,2208,77,2.8,15.4,MID,3.5438596491228096
Gallagher,6.0,Chelsea,5,8,13,37,3129,129,3.5,21.5,MID,3.5438596491228096
Gilchrist,4.0,Chelsea,1,0,1,2,200,20,1.8,5.0,DEF,3.5438596491228096
Gusto,5.0,Chelsea,0,6,6,19,1746,74,2.7,14.8,DEF,3.5438596491228096
James,5.0,Chelsea,0,2,2,5,416,11,1.1,2.2,DEF,3.5438596491228096
Kellyman,4.5,Chelsea,0,0,0,0,35,2,1.0,0.4444,MID,3.5438596491228096
Lavia,4.5,Chelsea,0,0,0,0,32,1,1.0,0.2222,MID,3.5438596491228096
Madueke,6.5,Chelsea,5,3,8,13,1044,76,3.3,11.69,MID,3.5438596491228096
Mudryk,6.5,Chelsea,5,5,10,18,1564,94,3.0,14.46,MID,3.5438596491228096
N.Jackson,7.5,Chelsea,14,6,20,31,2801,142,4.1,18.93,FWD,3.5438596491228096
Nkunku,6.5,Chelsea,3,0,3,2,437,29,2.6,4.462,MID,3.5438596491228096
Palmer,10.5,Chelsea,22,13,35,29,2617,244,7.2,23.24,MID,3.5438596491228096
Petrović,4.5,Chelsea,0,0,0,22,1986,71,3.1,15.78,GK,3.5438596491228096
Sánchez,4.5,Chelsea,0,0,0,16,1433,59,3.7,13.11,GK,3.5438596491228096
Sterling,7.0,Chelsea,8,8,16,22,1972,123,4.0,17.57,MID,3.5438596491228096
Tosin,4.5,Chelsea,2,0,2,18,1616,66,3.3,14.67,DEF,3.5438596491228096
Ugochukwu,4.5,Chelsea,0,0,0,3,296,13,1.1,2.889,MID,3.5438596491228096
Neto,6.5,Chelsea,2,11,13,18,1516,86,4.3,13.23,MID,3.5438596491228096
Ahamada,4.5,Crystal Palace,0,0,0,0,332,16,0.8,3.556,MID,-1.3684210526315788
Andersen,4.5,Crystal Palace,2,3,5,38,3416,121,3.2,26.89,DEF,-1.3684210526315788
J.Ayew,5.5,Crystal Palace,4,7,11,30,2540,109,3.1,19.82,MID,-1.3684210526315788
C.Doucouré,5.0,Crystal Palace,0,0,0,11,920,21,1.9,4.2,MID,-1.3684210526315788
C.Richards,4.5,Crystal Palace,1,1,2,23,2091,62,2.4,13.78,DEF,-1.3684210526315788
Clyne,4.5,Crystal Palace,0,1,1,14,1335,52,2.7,11.56,DEF,-1.3684210526315788
Edouard,5.5,Crystal Palace,7,0,7,17,1545,79,2.6,14.36,FWD,-1.3684210526315788
Eze,7.0,Crystal Palace,11,5,16,24,2054,136,5.0,19.43,MID,-1.3684210526315788
Guéhi,4.5,Crystal Palace,0,1,1,23,2020,66,2.6,14.67,DEF,-1.3684210526315788
